> DelinqknnFit
k-Nearest Neighbors 

1967 samples
 118 predictor
   2 classes: 'N', 'Y' 

Pre-processing: centered (118), scaled (118) 
Resampling: Cross-Validated (10 fold, repeated 3 times) 
Summary of sample sizes: 1770, 1771, 1770, 1771, 1770, 1770, ... 
Resampling results across tuning parameters:

  k   ROC        Sens       Spec         ROC SD      Sens SD      Spec SD    
   5  0.4857354  0.8857158  0.130399660  0.05252032  0.029848630  0.042985797
   7  0.5070471  0.9199746  0.101048753  0.05979516  0.023293791  0.049385069
   9  0.5093709  0.9373399  0.086026077  0.05657931  0.018551384  0.032338443
  11  0.5137322  0.9517681  0.058801020  0.05424438  0.015136797  0.030383359
  13  0.5165556  0.9607832  0.049248866  0.05167004  0.018576672  0.023952324
  15  0.5249025  0.9670941  0.034197846  0.04804933  0.018168798  0.024483983
  17  0.5207247  0.9758795  0.019827098  0.05377892  0.014181522  0.016582754
  19  0.5329682  0.9812864  0.019855442  0.04627077  0.013377844  0.019132213
  21  0.5254221  0.9875958  0.015688776  0.05013513  0.009263245  0.013871032
  23  0.5287697  0.9932402  0.008191610  0.04832163  0.005611193  0.010204652
  25  0.5158390  0.9966186  0.006150794  0.05185794  0.005823340  0.010956852
  27  0.5275059  0.9975195  0.005456349  0.04919745  0.004861254  0.009203311
  29  0.5151247  0.9977447  0.005456349  0.05227555  0.004101327  0.009203311
  31  0.5092849  0.9984219  0.004095805  0.05682624  0.003407873  0.008331959
  33  0.5278175  0.9990991  0.004095805  0.05327084  0.002336121  0.008331959
  35  0.5080437  0.9997748  0.001374717  0.06062141  0.001233609  0.005231949
  37  0.5330935  1.0000000  0.000000000  0.05436808  0.000000000  0.000000000
  39  0.5276291  1.0000000  0.000000000  0.05922670  0.000000000  0.000000000
  41  0.5360446  1.0000000  0.000000000  0.05675426  0.000000000  0.000000000
  43  0.5407060  1.0000000  0.000000000  0.05849570  0.000000000  0.000000000
  45  0.5323764  1.0000000  0.000000000  0.06242337  0.000000000  0.000000000
  47  0.5411181  1.0000000  0.000000000  0.05681582  0.000000000  0.000000000
  49  0.5405036  1.0000000  0.000000000  0.05626620  0.000000000  0.000000000
  51  0.5453556  1.0000000  0.000000000  0.05274571  0.000000000  0.000000000
  53  0.5387034  1.0000000  0.000000000  0.05570574  0.000000000  0.000000000
  55  0.5391062  1.0000000  0.000000000  0.05686943  0.000000000  0.000000000
  57  0.5346031  1.0000000  0.000000000  0.05613620  0.000000000  0.000000000
  59  0.5449651  1.0000000  0.000000000  0.04860917  0.000000000  0.000000000
  61  0.5393058  1.0000000  0.000000000  0.05223560  0.000000000  0.000000000
  63  0.5397978  1.0000000  0.000000000  0.05198940  0.000000000  0.000000000
  65  0.5448505  1.0000000  0.000000000  0.04511739  0.000000000  0.000000000
  67  0.5339643  1.0000000  0.000000000  0.05183625  0.000000000  0.000000000
  69  0.5397645  1.0000000  0.000000000  0.04668432  0.000000000  0.000000000
  71  0.5426060  1.0000000  0.000000000  0.04745806  0.000000000  0.000000000
  73  0.5323600  1.0000000  0.000000000  0.05264862  0.000000000  0.000000000
  75  0.5413100  1.0000000  0.000000000  0.04401536  0.000000000  0.000000000
  77  0.5413604  1.0000000  0.000000000  0.04249363  0.000000000  0.000000000
  79  0.5376834  1.0000000  0.000000000  0.04417272  0.000000000  0.000000000
  81  0.5290946  1.0000000  0.000000000  0.04995659  0.000000000  0.000000000
  83  0.5366363  1.0000000  0.000000000  0.04756229  0.000000000  0.000000000

ROC was used to select the optimal model using  the largest value.
The final value used for the model was k = 51.
